"test","batch","result","description"
"Audit table batches",,"OK","There must be Audit data for 3 batches"
"Audit table sources",,"OK","There must be Audit data for all data sets"
"DImessages Phase complete records",,"Not 4 Phase Complete Records","Must have 4 Phase Complete records"
"DImessages batches",,"Not 3 batches plus batch 0","Must have 3 distinct batches reported in DImessages"
"DImessages initial condition",,"OK","All DW tables must be empty before Batch1"
"DImessages sources",,"OK","Messages must be present for all tables/transforms"
"DImessages validation reports","2","OK","Every batch must have a full set of validation reports"
"DImessages validation reports","3","OK","Every batch must have a full set of validation reports"
"Data visibility joined row counts: FactCashBalances",,"OK","Row counts match when joined to dimensions"
"Data visibility joined row counts: FactHoldings",,"OK","Row counts match when joined to dimensions"
"Data visibility joined row counts: FactMarketHistory",,"OK","Row counts match when joined to dimensions"
"Data visibility joined row counts: FactWatches",,"OK","Row counts match when joined to dimensions"
"Data visibility row counts: DimAccount",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimBroker",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimCompany",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimCustomer",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimDate",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimSecurity",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimTime",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimTrade",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: FactCashBalances",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: FactHoldings",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: FactMarketHistory",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: FactWatches",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: Financial",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: Industry",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: Prospect",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: StatusType",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: TaxRate",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: TradeType",,"OK","Row counts must be non-decreasing over time"
"DimAccount EffectiveDate","1","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimAccount EffectiveDate","2","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimAccount EffectiveDate","3","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimAccount End of Time",,"OK","Every Account has one record with a date range reaching the end of time"
"DimAccount EndDate",,"OK","EndDate of one record matches EffectiveDate of another, or the end of time"
"DimAccount IsCurrent",,"OK","IsCurrent is 1 if EndDate is the end of time, else Iscurrent is 0"
"DimAccount Overlap",,"OK","Date ranges do not overlap for a given Account"
"DimAccount SK_BrokerID",,"OK","All SK_BrokerIDs match a broker record with a valid date range"
"DimAccount SK_CustomerID",,"OK","All SK_CustomerIDs match a DimCustomer record with a valid date range"
"DimAccount Status",,"Bad value","All Status values are valid"
"DimAccount TaxStatus",,"OK","All TaxStatus values are valid"
"DimAccount batches",,"Mismatch","BatchID values must match Audit table"
"DimAccount consolidation",,"OK","No records become effective and end on the same day"
"DimAccount distinct keys",,"OK","All SKs are distinct"
"DimAccount inactive customers",,"OK","If a customer is inactive, the corresponding accounts must also have been inactive"
"DimAccount row count","1","Too few rows","Actual row count matches or exceeds Audit table minimum"
"DimAccount row count","2","Too few rows","Actual row count matches or exceeds Audit table minimum"
"DimAccount row count","3","Too few rows","Actual row count matches or exceeds Audit table minimum"
"DimBroker BatchID","1","OK","All rows report BatchID = 1"
"DimBroker EffectiveDate",,"OK","All rows have Batch1 BatchDate as EffectiveDate"
"DimBroker EndDate",,"OK","All rows have end of time as EndDate"
"DimBroker IsCurrent",,"OK","All rows have IsCurrent = 1"
"DimBroker distinct keys",,"OK","All SKs are distinct"
"DimBroker row count",,"OK","Actual row count matches Audit table"
"DimCompany Country",,"OK","All Country values are valid"
"DimCompany EffectiveDate","1","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimCompany EffectiveDate","2","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimCompany EffectiveDate","3","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimCompany End of Time",,"End of tome not reached","Every company has one record with a date range reaching the end of time"
"DimCompany EndDate",,"OK","EndDate of one record matches EffectiveDate of another, or the end of time"
"DimCompany Industry",,"OK","Industry values are from the Industry table"
"DimCompany Overlap",,"Dates overlap","Date ranges do not overlap for a given company"
"DimCompany SPrating",,"OK","All SPrating values are valid"
"DimCompany Status",,"OK","All Status values are valid"
"DimCompany batches",,"OK","BatchID values must match Audit table"
"DimCompany consolidation",,"OK","No records become effective and end on the same day"
"DimCompany distinct keys",,"OK","All SKs are distinct"
"DimCompany distinct names",,"OK","Every company has a unique name"
"DimCompany row count","1","OK","Actual row count matches or exceeds Audit table minimum"
"DimCompany row count","2","OK","Actual row count matches or exceeds Audit table minimum"
"DimCompany row count","3","OK","Actual row count matches or exceeds Audit table minimum"
"DimCustomer EffectiveDate","1","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimCustomer EffectiveDate","2","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimCustomer EffectiveDate","3","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimCustomer Email1",,"OK","Email1 values are properly formatted"
"DimCustomer Email2",,"OK","Email2 values are properly formatted"
"DimCustomer End of Time",,"OK","Every Customer has one record with a date range reaching the end of time"
"DimCustomer EndDate",,"OK","EndDate of one record matches EffectiveDate of another, or the end of time"
"DimCustomer Gender",,"Bad value","All Gender values are valid"
"DimCustomer IsCurrent",,"Not current","IsCurrent is 1 if EndDate is the end of time, else Iscurrent is 0"
"DimCustomer LocalTaxRate",,"OK","LocalTaxRateDesc and LocalTaxRate values are from TaxRate table"
"DimCustomer NationalTaxRate",,"OK","NationalTaxRateDesc and NationalTaxRate values are from TaxRate table"
"DimCustomer Overlap",,"OK","Date ranges do not overlap for a given Customer"
"DimCustomer Phone1",,"Mismatch","Phone1 values are properly formatted"
"DimCustomer Phone2",,"Mismatch","Phone2 values are properly formatted"
"DimCustomer Phone3",,"Mismatch","Phone3 values are properly formatted"
"DimCustomer Status",,"Bad value","All Status values are valid"
"DimCustomer TaxID",,"OK","TaxID values are properly formatted"
"DimCustomer age range alerts","1","OK","Count of age range alerts matches Audit table"
"DimCustomer age range alerts","2","Mismatch","Count of age range alerts matches Audit table"
"DimCustomer age range alerts","3","Mismatch","Count of age range alerts matches Audit table"
"DimCustomer batches",,"Mismatch","BatchID values must match Audit table"
"DimCustomer consolidation",,"OK","No records become effective and end on the same day"
"DimCustomer customer tier alerts","1","OK","Count of customer tier alerts matches Audit table"
"DimCustomer customer tier alerts","2","OK","Count of customer tier alerts matches Audit table"
"DimCustomer customer tier alerts","3","OK","Count of customer tier alerts matches Audit table"
"DimCustomer demographic fields",,"OK","For current customer records that match Prospect records, the demographic fields also match"
"DimCustomer distinct keys",,"OK","All SKs are distinct"
"DimCustomer inactive customers","1","Mismatch","Inactive customer count matches Audit table"
"DimCustomer inactive customers","2","Mismatch","Inactive customer count matches Audit table"
"DimCustomer inactive customers","3","Mismatch","Inactive customer count matches Audit table"
"DimCustomer row count","1","Too few rows","Actual row count matches or exceeds Audit table minimum"
"DimCustomer row count","2","Too few rows","Actual row count matches or exceeds Audit table minimum"
"DimCustomer row count","3","Too few rows","Actual row count matches or exceeds Audit table minimum"
"DimSecurity EffectiveDate","1","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimSecurity EffectiveDate","2","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimSecurity EffectiveDate","3","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimSecurity End of Time",,"End of tome not reached","Every company has one record with a date range reaching the end of time"
"DimSecurity EndDate",,"OK","EndDate of one record matches EffectiveDate of another, or the end of time"
"DimSecurity ExchangeID",,"OK","All ExchangeID values are valid"
"DimSecurity IsCurrent",,"OK","IsCurrent is 1 if EndDate is the end of time, else Iscurrent is 0"
"DimSecurity Issue",,"OK","All Issue values are valid"
"DimSecurity Overlap",,"Dates overlap","Date ranges do not overlap for a given company"
"DimSecurity SK_CompanyID",,"OK","All SK_CompanyIDs match a DimCompany record with a valid date range"
"DimSecurity Status",,"Bad value","All Status values are valid"
"DimSecurity batches",,"OK","BatchID values must match Audit table"
"DimSecurity consolidation",,"OK","No records become effective and end on the same day"
"DimSecurity distinct keys",,"OK","All SKs are distinct"
"DimSecurity row count","1","OK","Actual row count matches or exceeds Audit table minimum"
"DimTrade SK_AccountID",,"OK","All SK_AccountIDs match a DimAccount record with a valid date range"
"DimTrade SK_BrokerID",,"OK","All SK_BrokerIDs match a DimBroker record with a valid date range"
"DimTrade SK_CompanyID",,"OK","All SK_CompanyIDs match a DimCompany record with a valid date range"
"DimTrade SK_CustomerID",,"OK","All SK_CustomerIDs match a DimCustomer record with a valid date range"
"DimTrade SK_SecurityID",,"OK","All SK_SecurityIDs match a DimSecurity record with a valid date range"
"DimTrade Status",,"OK","All Trade Status values are valid"
"DimTrade Type",,"OK","All Trade Type values are valid"
"DimTrade batches",,"OK","BatchID values must match Audit table"
"DimTrade canceled trades",,"Mismatch","Actual row counts matches Audit table"
"DimTrade charge alerts",,"OK","Actual row counts matches Audit table"
"DimTrade commission alerts",,"OK","Actual row counts matches Audit table"
"DimTrade date check","2","OK","All SK_DateID values are in the correct batch time window"
"DimTrade date check","3","OK","All SK_DateID values are in the correct batch time window"
"DimTrade distinct keys",,"Not unique","All keys are distinct"
"DimTrade row count","1","Mismatch","Actual total matches Audit table"
"DimTrade row count","2","Mismatch","Actual total matches Audit table"
"DimTrade row count","3","Mismatch","Actual total matches Audit table"
"FactCashBalances SK_AccountID",,"OK","All SK_AccountIDs match a DimAccount record with a valid date range"
"FactCashBalances SK_CustomerID",,"OK","All SK_CustomerIDs match a DimCustomer record with a valid date range"
"FactCashBalances SK_DateID","2","OK","All dates are within batch date range"
"FactCashBalances SK_DateID","3","OK","All dates are within batch date range"
"FactCashBalances batches",,"OK","BatchID values must match Audit table"
"FactHoldings CurrentTradeID",,"Failed","CurrentTradeID matches a DimTrade record with and Close Date and Time are values are used as the holdings date and time"
"FactHoldings SK_AccountID",,"OK","All SK_AccountIDs match a DimAccount record with a valid date range"
"FactHoldings SK_CompanyID",,"OK","All SK_CompanyIDs match a DimCompany record with a valid date range"
"FactHoldings SK_CustomerID",,"OK","All SK_CustomerIDs match a DimCustomer record with a valid date range"
"FactHoldings SK_DateID","2","OK","All dates are within batch date range"
"FactHoldings SK_DateID","3","OK","All dates are within batch date range"
"FactHoldings SK_SecurityID",,"OK","All SK_SecurityIDs match a DimSecurity record with a valid date range"
"FactHoldings batches",,"OK","BatchID values must match Audit table"
"FactHoldings row count","1","Mismatch","Actual row count matches Audit table"
"FactHoldings row count","2","Mismatch","Actual row count matches Audit table"
"FactHoldings row count","3","Mismatch","Actual row count matches Audit table"
"FactMarketHistory SK_CompanyID",,"OK","All SK_CompanyIDs match a DimCompany record with a valid date range"
"FactMarketHistory SK_DateID","2","OK","All dates are within batch date range"
"FactMarketHistory SK_DateID","3","OK","All dates are within batch date range"
"FactMarketHistory SK_SecurityID",,"OK","All SK_SecurityIDs match a DimSecurity record with a valid date range"
"FactMarketHistory batches",,"OK","BatchID values must match Audit table"
"FactMarketHistory relative dates",,"OK","52-week-low <= day_low <= close_price <= day_high <= 52-week-high"
"FactMarketHistory row count","1","Mismatch","Actual row count matches Audit table"
"FactMarketHistory row count","2","Mismatch","Actual row count matches Audit table"
"FactMarketHistory row count","3","Mismatch","Actual row count matches Audit table"
"FactWatches SK_CustomerID",,"OK","All SK_CustomerIDs match a DimCustomer record with a valid date range"
"FactWatches SK_SecurityID",,"OK","All SK_SecurityIDs match a DimSecurity record with a valid date range"
"FactWatches active watches","1","Mismatch","Actual total matches Audit table"
"FactWatches active watches","2","Mismatch","Actual total matches Audit table"
"FactWatches active watches","3","Mismatch","Actual total matches Audit table"
"FactWatches batches",,"OK","BatchID values must match Audit table"
"FactWatches date check","2","OK","All SK_DateID_ values are in the correct batch time window"
"FactWatches date check","3","OK","All SK_DateID_ values are in the correct batch time window"
"FactWatches row count","1","Mismatch","Actual row count matches Audit table"
"FactWatches row count","2","Mismatch","Actual row count matches Audit table"
"FactWatches row count","3","Mismatch","Actual row count matches Audit table"
"Financial EPS",,"OK","Earnings calculations are valid"
"Financial FI_QTR",,"OK","All quarters are in ( 1, 2, 3, 4 )"
"Financial FI_QTR_START_DATE",,"OK","All quarters start on correct date"
"Financial FI_YEAR",,"OK","All Years are within Batch1 range"
"Financial SK_CompanyID",,"OK","All SK_CompanyIDs match a DimCompany record"
"Financial row count",,"Mismatch","Actual row count matches Audit table"
"Prospect Country",,"OK","All Country values are valid"
"Prospect MarketingNameplate",,"Bad value","All MarketingNameplate values match the data"
"Prospect SK_RecordDateID","1","OK","All records from batch have SK_RecordDateID in or after the batch time window"
"Prospect SK_RecordDateID","2","OK","All records from batch have SK_RecordDateID in or after the batch time window"
"Prospect SK_RecordDateID","3","OK","All records from batch have SK_RecordDateID in or after the batch time window"
"Prospect SK_UpdateDateID",,"OK","SK_RecordDateID must be newer or same as SK_UpdateDateID"
"Prospect batches",,"OK","BatchID values must match Audit table"
